respID,qID,altID,obsID,price,quantity,colorWB,material,setOptions,design,setOptions2,imageColorDesign,imageSetOption
1,6,2,6,25,50,White,Biodegradable Plastic,fn,Simple,"Individual package (a fork,a napkin)",WhiteSimple.jpg,fn.jpg
1,6,3,6,25,350,White,Plastic,fn,Fancy,"Individual package (a fork,a napkin)",WhiteFancy.jpg,fn.jpg
1,7,1,7,30,150,Wood_color,Bamboo,fk,Simple,"Individual package (a fork,a knife)",Wood_colorSimple.jpg,fk.jpg
1,7,2,7,25,350,Black,Biodegradable Plastic,f_k_s,Simple,"Bundle package (all forks, knives, spoons)",BlackSimple.jpg,f_k_s.jpg
1,7,3,7,20,350,White,Plastic,fkn,Fancy,"Individual package (a fork,a knife,a napkin)",WhiteFancy.jpg,fkn.jpg
1,8,1,8,20,50,Wood_color,Bamboo,f,Simple,Individual package (only a fork inside),Wood_colorSimple.jpg,f.jpg
1,8,2,8,20,350,Black,Biodegradable Plastic,f,Fancy,Individual package (only a fork inside),BlackFancy.jpg,f.jpg
1,8,3,8,30,150,Black,Plastic,fn,Fancy,"Individual package (a fork,a napkin)",BlackFancy.jpg,fn.jpg
2,1,1,9,25,350,Wood_color,Bamboo,fks,Simple,"Individual package (a fork,a knife,a spoon)",Wood_colorSimple.jpg,fks.jpg
2,1,2,9,20,150,Black,Biodegradable Plastic,fk,Fancy,"Individual package (a fork,a knife)",BlackFancy.jpg,fk.jpg
2,1,3,9,20,150,White,Plastic,fksn,Fancy,"Individual package (a fork,a knife, a spoon, a napkin)",WhiteFancy.jpg,fksn.jpg
2,2,1,10,25,350,Wood_color,Bamboo,fksn,Fancy,"Individual package (a fork,a knife, a spoon, a napkin)",Wood_colorFancy.jpg,fksn.jpg
2,2,2,10,20,350,Black,Biodegradable Plastic,fn,Simple,"Individual package (a fork,a napkin)",BlackSimple.jpg,fn.jpg
2,2,3,10,25,350,Black,Plastic,fn,Simple,"Individual package (a fork,a napkin)",BlackSimple.jpg,fn.jpg
2,3,1,11,20,350,Wood_color,Bamboo,fks,Fancy,"Individual package (a fork,a knife,a spoon)",Wood_colorFancy.jpg,fks.jpg
2,3,2,11,30,50,White,Biodegradable Plastic,f,Simple,Individual package (only a fork inside),WhiteSimple.jpg,f.jpg
2,3,3,11,25,50,Black,Plastic,f_k_s,Fancy,"Bundle package (all forks, knives, spoons)",BlackFancy.jpg,f_k_s.jpg
2,4,1,12,20,50,Wood_color,Bamboo,fk,Simple,"Individual package (a fork,a knife)",Wood_colorSimple.jpg,fk.jpg
2,4,2,12,30,150,White,Biodegradable Plastic,fks,Fancy,"Individual package (a fork,a knife,a spoon)",WhiteFancy.jpg,fks.jpg
2,4,3,12,25,350,Black,Plastic,fn,Simple,"Individual package (a fork,a napkin)",BlackSimple.jpg,fn.jpg
2,5,1,13,20,150,Wood_color,Bamboo,f_k_s,Simple,"Bundle package (all forks, knives, spoons)",Wood_colorSimple.jpg,f_k_s.jpg
2,5,2,13,30,150,Black,Biodegradable Plastic,fk,Fancy,"Individual package (a fork,a knife)",BlackFancy.jpg,fk.jpg
2,5,3,13,25,50,White,Plastic,fksn,Fancy,"Individual package (a fork,a knife, a spoon, a napkin)",WhiteFancy.jpg,fksn.jpg
2,6,1,14,20,50,Wood_color,Bamboo,f_k_s,Simple,"Bundle package (all forks, knives, spoons)",Wood_colorSimple.jpg,f_k_s.jpg
2,6,2,14,30,50,Black,Biodegradable Plastic,fksn,Simple,"Individual package (a fork,a knife, a spoon, a napkin)",BlackSimple.jpg,fksn.jpg
2,6,3,14,20,150,White,Plastic,fn,Simple,"Individual package (a fork,a napkin)",WhiteSimple.jpg,fn.jpg
2,7,1,15,20,50,Wood_color,Bamboo,fkn,Fancy,"Individual package (a fork,a knife,a napkin)",Wood_colorFancy.jpg,fkn.jpg
2,7,2,15,30,350,Black,Biodegradable Plastic,fkn,Fancy,"Individual package (a fork,a knife,a napkin)",BlackFancy.jpg,fkn.jpg
2,7,3,15,20,150,Black,Plastic,fk,Simple,"Individual package (a fork,a knife)",BlackSimple.jpg,fk.jpg
2,8,1,16,30,150,Wood_color,Bamboo,fn,Fancy,"Individual package (a fork,a napkin)",Wood_colorFancy.jpg,fn.jpg
2,8,2,16,25,350,White,Biodegradable Plastic,f,Simple,Individual package (only a fork inside),WhiteSimple.jpg,f.jpg
2,8,3,16,25,50,Black,Plastic,fkn,Simple,"Individual package (a fork,a knife,a napkin)",BlackSimple.jpg,fkn.jpg
3,1,1,17,25,350,Wood_color,Bamboo,fn,Fancy,"Individual package (a fork,a napkin)",Wood_colorFancy.jpg,fn.jpg
3,1,2,17,30,150,Black,Biodegradable Plastic,f,Simple,Individual package (only a fork inside),BlackSimple.jpg,f.jpg
3,1,3,17,20,150,White,Plastic,f_k_s,Fancy,"Bundle package (all forks, knives, spoons)",WhiteFancy.jpg,f_k_s.jpg
3,2,1,18,30,150,Wood_color,Bamboo,fk,Fancy,"Individual package (a fork,a knife)",Wood_colorFancy.jpg,fk.jpg
3,2,2,18,25,50,Black,Biodegradable Plastic,fk,Fancy,"Individual package (a fork,a knife)",BlackFancy.jpg,fk.jpg
3,2,3,18,20,150,Black,Plastic,f,Fancy,Individual package (only a fork inside),BlackFancy.jpg,f.jpg
3,3,1,19,20,150,Wood_color,Bamboo,fks,Fancy,"Individual package (a fork,a knife,a spoon)",Wood_colorFancy.jpg,fks.jpg
3,3,2,19,30,50,White,Biodegradable Plastic,fk,Simple,"Individual package (a fork,a knife)",WhiteSimple.jpg,fk.jpg
3,3,3,19,20,50,Black,Plastic,fksn,Fancy,"Individual package (a fork,a knife, a spoon, a napkin)",BlackFancy.jpg,fksn.jpg
3,4,1,20,20,50,Wood_color,Bamboo,fk,Fancy,"Individual package (a fork,a knife)",Wood_colorFancy.jpg,fk.jpg
3,4,2,20,30,50,White,Biodegradable Plastic,fksn,Simple,"Individual package (a fork,a knife, a spoon, a napkin)",WhiteSimple.jpg,fksn.jpg
3,4,3,20,20,50,Black,Plastic,fksn,Simple,"Individual package (a fork,a knife, a spoon, a napkin)",BlackSimple.jpg,fksn.jpg
3,5,1,21,25,350,Wood_color,Bamboo,fk,Simple,"Individual package (a fork,a knife)",Wood_colorSimple.jpg,fk.jpg
3,5,2,21,20,50,Black,Biodegradable Plastic,fk,Simple,"Individual package (a fork,a knife)",BlackSimple.jpg,fk.jpg
3,5,3,21,30,150,Black,Plastic,fksn,Simple,"Individual package (a fork,a knife, a spoon, a napkin)",BlackSimple.jpg,fksn.jpg
3,6,1,22,30,350,Wood_color,Bamboo,fk,Simple,"Individual package (a fork,a knife)",Wood_colorSimple.jpg,fk.jpg
3,6,2,22,30,350,Black,Biodegradable Plastic,fkn,Simple,"Individual package (a fork,a knife,a napkin)",BlackSimple.jpg,fkn.jpg
3,6,3,22,30,150,White,Plastic,fk,Fancy,"Individual package (a fork,a knife)",WhiteFancy.jpg,fk.jpg
3,7,1,23,25,150,Wood_color,Bamboo,fn,Fancy,"Individual package (a fork,a napkin)",Wood_colorFancy.jpg,fn.jpg
3,7,2,23,30,50,Black,Biodegradable Plastic,fksn,Simple,"Individual package (a fork,a knife, a spoon, a napkin)",BlackSimple.jpg,fksn.jpg
3,7,3,23,20,350,White,Plastic,fn,Simple,"Individual package (a fork,a napkin)",WhiteSimple.jpg,fn.jpg
3,8,1,24,30,350,Wood_color,Bamboo,fksn,Simple,"Individual package (a fork,a knife, a spoon, a napkin)",Wood_colorSimple.jpg,fksn.jpg
3,8,2,24,25,150,Black,Biodegradable Plastic,fn,Simple,"Individual package (a fork,a napkin)",BlackSimple.jpg,fn.jpg
3,8,3,24,25,350,Black,Plastic,fn,Fancy,"Individual package (a fork,a napkin)",BlackFancy.jpg,fn.jpg
4,1,1,25,20,50,Wood_color,Bamboo,fksn,Simple,"Individual package (a fork,a knife, a spoon, a napkin)",Wood_colorSimple.jpg,fksn.jpg
4,1,2,25,25,150,White,Biodegradable Plastic,fk,Simple,"Individual package (a fork,a knife)",WhiteSimple.jpg,fk.jpg
4,1,3,25,25,50,Black,Plastic,fkn,Fancy,"Individual package (a fork,a knife,a napkin)",BlackFancy.jpg,fkn.jpg
4,2,1,26,30,150,Wood_color,Bamboo,fks,Fancy,"Individual package (a fork,a knife,a spoon)",Wood_colorFancy.jpg,fks.jpg
4,2,2,26,30,50,Black,Biodegradable Plastic,fksn,Simple,"Individual package (a fork,a knife, a spoon, a napkin)",BlackSimple.jpg,fksn.jpg
4,2,3,26,30,50,Black,Plastic,fkn,Simple,"Individual package (a fork,a knife,a napkin)",BlackSimple.jpg,fkn.jpg
4,3,1,27,20,150,Wood_color,Bamboo,fk,Simple,"Individual package (a fork,a knife)",Wood_colorSimple.jpg,fk.jpg
4,3,2,27,20,350,White,Biodegradable Plastic,fks,Fancy,"Individual package (a fork,a knife,a spoon)",WhiteFancy.jpg,fks.jpg
4,3,3,27,30,50,Black,Plastic,fks,Fancy,"Individual package (a fork,a knife,a spoon)",BlackFancy.jpg,fks.jpg
4,4,1,28,30,350,Wood_color,Bamboo,f_k_s,Simple,"Bundle package (all forks, knives, spoons)",Wood_colorSimple.jpg,f_k_s.jpg
4,4,2,28,20,150,White,Biodegradable Plastic,fkn,Simple,"Individual package (a fork,a knife,a napkin)",WhiteSimple.jpg,fkn.jpg
4,4,3,28,30,50,Black,Plastic,f_k_s,Fancy,"Bundle package (all forks, knives, spoons)",BlackFancy.jpg,f_k_s.jpg
4,5,1,29,30,50,Wood_color,Bamboo,fk,Simple,"Individual package (a fork,a knife)",Wood_colorSimple.jpg,fk.jpg
4,5,2,29,20,50,Black,Biodegradable Plastic,fksn,Simple,"Individual package (a fork,a knife, a spoon, a napkin)",BlackSimple.jpg,fksn.jpg
4,5,3,29,20,150,White,Plastic,fkn,Fancy,"Individual package (a fork,a knife,a napkin)",WhiteFancy.jpg,fkn.jpg
4,6,1,30,30,150,Wood_color,Bamboo,fk,Simple,"Individual package (a fork,a knife)",Wood_colorSimple.jpg,fk.jpg
4,6,2,30,20,150,Black,Biodegradable Plastic,fksn,Fancy,"Individual package (a fork,a knife, a spoon, a napkin)",BlackFancy.jpg,fksn.jpg
4,6,3,30,25,350,Black,Plastic,fkn,Simple,"Individual package (a fork,a knife,a napkin)",BlackSimple.jpg,fkn.jpg
4,7,1,31,20,150,Wood_color,Bamboo,f_k_s,Fancy,"Bundle package (all forks, knives, spoons)",Wood_colorFancy.jpg,f_k_s.jpg
4,7,2,31,30,350,White,Biodegradable Plastic,f,Simple,Individual package (only a fork inside),WhiteSimple.jpg,f.jpg
4,7,3,31,30,350,White,Plastic,fkn,Simple,"Individual package (a fork,a knife,a napkin)",WhiteSimple.jpg,fkn.jpg
4,8,1,32,30,350,Wood_color,Bamboo,fkn,Simple,"Individual package (a fork,a knife,a napkin)",Wood_colorSimple.jpg,fkn.jpg
4,8,2,32,25,150,Black,Biodegradable Plastic,fks,Simple,"Individual package (a fork,a knife,a spoon)",BlackSimple.jpg,fks.jpg
4,8,3,32,20,50,Black,Plastic,fkn,Simple,"Individual package (a fork,a knife,a napkin)",BlackSimple.jpg,fkn.jpg
5,1,1,33,25,50,Wood_color,Bamboo,fkn,Simple,"Individual package (a fork,a knife,a napkin)",Wood_colorSimple.jpg,fkn.jpg
5,1,2,33,30,50,Black,Biodegradable Plastic,fk,Fancy,"Individual package (a fork,a knife)",BlackFancy.jpg,fk.jpg
5,1,3,33,25,50,Black,Plastic,fn,Fancy,"Individual package (a fork,a napkin)",BlackFancy.jpg,fn.jpg
5,2,1,34,25,50,Wood_color,Bamboo,f_k_s,Fancy,"Bundle package (all forks, knives, spoons)",Wood_colorFancy.jpg,f_k_s.jpg
5,2,2,34,25,50,Black,Biodegradable Plastic,fksn,Simple,"Individual package (a fork,a knife, a spoon, a napkin)",BlackSimple.jpg,fksn.jpg
5,2,3,34,25,150,White,Plastic,fk,Fancy,"Individual package (a fork,a knife)",WhiteFancy.jpg,fk.jpg
5,3,1,35,20,350,Wood_color,Bamboo,fksn,Fancy,"Individual package (a fork,a knife, a spoon, a napkin)",Wood_colorFancy.jpg,fksn.jpg
5,3,2,35,30,50,Black,Biodegradable Plastic,fk,Fancy,"Individual package (a fork,a knife)",BlackFancy.jpg,fk.jpg
5,3,3,35,25,150,Black,Plastic,fkn,Fancy,"Individual package (a fork,a knife,a napkin)",BlackFancy.jpg,fkn.jpg
5,4,1,36,25,50,Wood_color,Bamboo,fn,Fancy,"Individual package (a fork,a napkin)",Wood_colorFancy.jpg,fn.jpg
5,4,2,36,25,50,White,Biodegradable Plastic,f_k_s,Simple,"Bundle package (all forks, knives, spoons)",WhiteSimple.jpg,f_k_s.jpg
5,4,3,36,25,150,White,Plastic,f,Simple,Individual package (only a fork inside),WhiteSimple.jpg,f.jpg
5,5,1,37,20,350,Wood_color,Bamboo,fksn,Fancy,"Individual package (a fork,a knife, a spoon, a napkin)",Wood_colorFancy.jpg,fksn.jpg
5,5,2,37,20,150,Black,Biodegradable Plastic,fk,Simple,"Individual package (a fork,a knife)",BlackSimple.jpg,fk.jpg
5,5,3,37,20,50,White,Plastic,fk,Simple,"Individual package (a fork,a knife)",WhiteSimple.jpg,fk.jpg
5,6,1,38,20,150,Wood_color,Bamboo,fkn,Simple,"Individual package (a fork,a knife,a napkin)",Wood_colorSimple.jpg,fkn.jpg
5,6,2,38,20,150,Black,Biodegradable Plastic,fks,Simple,"Individual package (a fork,a knife,a spoon)",BlackSimple.jpg,fks.jpg
5,6,3,38,25,150,Black,Plastic,fkn,Simple,"Individual package (a fork,a knife,a napkin)",BlackSimple.jpg,fkn.jpg
5,7,1,39,25,50,Wood_color,Bamboo,fk,Fancy,"Individual package (a fork,a knife)",Wood_colorFancy.jpg,fk.jpg
5,7,2,39,20,150,Black,Biodegradable Plastic,fk,Fancy,"Individual package (a fork,a knife)",BlackFancy.jpg,fk.jpg
5,7,3,39,20,150,White,Plastic,fksn,Fancy,"Individual package (a fork,a knife, a spoon, a napkin)",WhiteFancy.jpg,fksn.jpg
5,8,1,40,30,150,Wood_color,Bamboo,fks,Simple,"Individual package (a fork,a knife,a spoon)",Wood_colorSimple.jpg,fks.jpg
5,8,2,40,25,50,White,Biodegradable Plastic,fn,Simple,"Individual package (a fork,a napkin)",WhiteSimple.jpg,fn.jpg
5,8,3,40,20,150,Black,Plastic,f,Fancy,Individual package (only a fork inside),BlackFancy.jpg,f.jpg
6,1,1,41,30,50,Wood_color,Bamboo,fk,Fancy,"Individual package (a fork,a knife)",Wood_colorFancy.jpg,fk.jpg
6,1,2,41,30,150,Black,Biodegradable Plastic,f_k_s,Fancy,"Bundle package (all forks, knives, spoons)",BlackFancy.jpg,f_k_s.jpg
6,1,3,41,20,150,Black,Plastic,fks,Fancy,"Individual package (a fork,a knife,a spoon)",BlackFancy.jpg,fks.jpg
6,2,1,42,25,50,Wood_color,Bamboo,f,Simple,Individual package (only a fork inside),Wood_colorSimple.jpg,f.jpg
6,2,2,42,25,50,White,Biodegradable Plastic,fk,Simple,"Individual package (a fork,a knife)",WhiteSimple.jpg,fk.jpg
6,2,3,42,30,50,White,Plastic,fksn,Simple,"Individual package (a fork,a knife, a spoon, a napkin)",WhiteSimple.jpg,fksn.jpg
6,3,1,43,25,150,Wood_color,Bamboo,f,Simple,Individual package (only a fork inside),Wood_colorSimple.jpg,f.jpg
6,3,2,43,30,350,Black,Biodegradable Plastic,fn,Simple,"Individual package (a fork,a napkin)",BlackSimple.jpg,fn.jpg
6,3,3,43,25,50,White,Plastic,fksn,Fancy,"Individual package (a fork,a knife, a spoon, a napkin)",WhiteFancy.jpg,fksn.jpg
6,4,1,44,30,50,Wood_color,Bamboo,f_k_s,Fancy,"Bundle package (all forks, knives, spoons)",Wood_colorFancy.jpg,f_k_s.jpg
6,4,2,44,25,50,Black,Biodegradable Plastic,fk,Fancy,"Individual package (a fork,a knife)",BlackFancy.jpg,fk.jpg
6,4,3,44,25,50,White,Plastic,f,Fancy,Individual package (only a fork inside),WhiteFancy.jpg,f.jpg
6,5,1,45,30,150,Wood_color,Bamboo,fk,Fancy,"Individual package (a fork,a knife)",Wood_colorFancy.jpg,fk.jpg
6,5,2,45,25,50,White,Biodegradable Plastic,fkn,Simple,"Individual package (a fork,a knife,a napkin)",WhiteSimple.jpg,fkn.jpg
6,5,3,45,30,50,White,Plastic,f_k_s,Fancy,"Bundle package (all forks, knives, spoons)",WhiteFancy.jpg,f_k_s.jpg
6,6,1,46,25,350,Wood_color,Bamboo,fk,Simple,"Individual package (a fork,a knife)",Wood_colorSimple.jpg,fk.jpg
6,6,2,46,30,50,White,Biodegradable Plastic,f_k_s,Simple,"Bundle package (all forks, knives, spoons)",WhiteSimple.jpg,f_k_s.jpg
6,6,3,46,25,350,White,Plastic,f_k_s,Fancy,"Bundle package (all forks, knives, spoons)",WhiteFancy.jpg,f_k_s.jpg
6,7,1,47,25,50,Wood_color,Bamboo,fkn,Fancy,"Individual package (a fork,a knife,a napkin)",Wood_colorFancy.jpg,fkn.jpg
6,7,2,47,25,50,Black,Biodegradable Plastic,fn,Fancy,"Individual package (a fork,a napkin)",BlackFancy.jpg,fn.jpg
6,7,3,47,20,350,White,Plastic,fks,Fancy,"Individual package (a fork,a knife,a spoon)",WhiteFancy.jpg,fks.jpg
6,8,1,48,20,50,Wood_color,Bamboo,fk,Fancy,"Individual package (a fork,a knife)",Wood_colorFancy.jpg,fk.jpg
6,8,2,48,25,350,White,Biodegradable Plastic,f,Fancy,Individual package (only a fork inside),WhiteFancy.jpg,f.jpg
6,8,3,48,20,150,White,Plastic,fksn,Simple,"Individual package (a fork,a knife, a spoon, a napkin)",WhiteSimple.jpg,fksn.jpg
7,1,1,49,20,350,Wood_color,Bamboo,fk,Simple,"Individual package (a fork,a knife)",Wood_colorSimple.jpg,fk.jpg
7,1,2,49,25,350,Black,Biodegradable Plastic,f_k_s,Simple,"Bundle package (all forks, knives, spoons)",BlackSimple.jpg,f_k_s.jpg
7,1,3,49,20,50,Black,Plastic,fks,Simple,"Individual package (a fork,a knife,a spoon)",BlackSimple.jpg,fks.jpg
7,2,1,50,20,350,Wood_color,Bamboo,f_k_s,Simple,"Bundle package (all forks, knives, spoons)",Wood_colorSimple.jpg,f_k_s.jpg
7,2,2,50,30,50,Black,Biodegradable Plastic,f_k_s,Fancy,"Bundle package (all forks, knives, spoons)",BlackFancy.jpg,f_k_s.jpg
7,2,3,50,20,150,Black,Plastic,f,Simple,Individual package (only a fork inside),BlackSimple.jpg,f.jpg
7,3,1,51,25,50,Wood_color,Bamboo,fn,Simple,"Individual package (a fork,a napkin)",Wood_colorSimple.jpg,fn.jpg
7,3,2,51,20,150,White,Biodegradable Plastic,f_k_s,Simple,"Bundle package (all forks, knives, spoons)",WhiteSimple.jpg,f_k_s.jpg
7,3,3,51,20,150,White,Plastic,fkn,Fancy,"Individual package (a fork,a knife,a napkin)",WhiteFancy.jpg,fkn.jpg
7,4,1,52,30,50,Wood_color,Bamboo,f_k_s,Simple,"Bundle package (all forks, knives, spoons)",Wood_colorSimple.jpg,f_k_s.jpg
7,4,2,52,20,350,White,Biodegradable Plastic,fks,Fancy,"Individual package (a fork,a knife,a spoon)",WhiteFancy.jpg,fks.jpg
7,4,3,52,25,350,White,Plastic,f,Simple,Individual package (only a fork inside),WhiteSimple.jpg,f.jpg
7,5,1,53,20,350,Wood_color,Bamboo,fkn,Fancy,"Individual package (a fork,a knife,a napkin)",Wood_colorFancy.jpg,fkn.jpg
7,5,2,53,25,150,White,Biodegradable Plastic,fn,Fancy,"Individual package (a fork,a napkin)",WhiteFancy.jpg,fn.jpg
7,5,3,53,30,150,White,Plastic,fksn,Simple,"Individual package (a fork,a knife, a spoon, a napkin)",WhiteSimple.jpg,fksn.jpg
7,6,1,54,25,50,Wood_color,Bamboo,fkn,Simple,"Individual package (a fork,a knife,a napkin)",Wood_colorSimple.jpg,fkn.jpg
7,6,2,54,20,50,Black,Biodegradable Plastic,fks,Fancy,"Individual package (a fork,a knife,a spoon)",BlackFancy.jpg,fks.jpg
7,6,3,54,20,150,White,Plastic,fksn,Simple,"Individual package (a fork,a knife, a spoon, a napkin)",WhiteSimple.jpg,fksn.jpg
7,7,1,55,30,350,Wood_color,Bamboo,fks,Fancy,"Individual package (a fork,a knife,a spoon)",Wood_colorFancy.jpg,fks.jpg
7,7,2,55,20,50,Black,Biodegradable Plastic,fn,Simple,"Individual package (a fork,a napkin)",BlackSimple.jpg,fn.jpg
7,7,3,55,20,350,Black,Plastic,f,Fancy,Individual package (only a fork inside),BlackFancy.jpg,f.jpg
7,8,1,56,25,50,Wood_color,Bamboo,fksn,Fancy,"Individual package (a fork,a knife, a spoon, a napkin)",Wood_colorFancy.jpg,fksn.jpg
7,8,2,56,30,50,White,Biodegradable Plastic,fks,Simple,"Individual package (a fork,a knife,a spoon)",WhiteSimple.jpg,fks.jpg
7,8,3,56,30,350,Black,Plastic,fn,Fancy,"Individual package (a fork,a napkin)",BlackFancy.jpg,fn.jpg
8,1,1,57,20,150,Wood_color,Bamboo,fkn,Simple,"Individual package (a fork,a knife,a napkin)",Wood_colorSimple.jpg,fkn.jpg
8,1,2,57,20,350,White,Biodegradable Plastic,f_k_s,Simple,"Bundle package (all forks, knives, spoons)",WhiteSimple.jpg,f_k_s.jpg
8,1,3,57,20,50,White,Plastic,fk,Simple,"Individual package (a fork,a knife)",WhiteSimple.jpg,fk.jpg
8,2,1,58,30,350,Wood_color,Bamboo,fkn,Fancy,"Individual package (a fork,a knife,a napkin)",Wood_colorFancy.jpg,fkn.jpg
8,2,2,58,25,150,Black,Biodegradable Plastic,f_k_s,Simple,"Bundle package (all forks, knives, spoons)",BlackSimple.jpg,f_k_s.jpg
8,2,3,58,20,150,White,Plastic,f_k_s,Simple,"Bundle package (all forks, knives, spoons)",WhiteSimple.jpg,f_k_s.jpg
8,3,1,59,30,50,Wood_color,Bamboo,f_k_s,Simple,"Bundle package (all forks, knives, spoons)",Wood_colorSimple.jpg,f_k_s.jpg
8,3,2,59,25,50,White,Biodegradable Plastic,fk,Fancy,"Individual package (a fork,a knife)",WhiteFancy.jpg,fk.jpg
8,3,3,59,30,150,White,Plastic,fks,Fancy,"Individual package (a fork,a knife,a spoon)",WhiteFancy.jpg,fks.jpg
8,4,1,60,30,150,Wood_color,Bamboo,f_k_s,Fancy,"Bundle package (all forks, knives, spoons)",Wood_colorFancy.jpg,f_k_s.jpg
8,4,2,60,30,50,White,Biodegradable Plastic,f,Fancy,Individual package (only a fork inside),WhiteFancy.jpg,f.jpg
8,4,3,60,25,150,Black,Plastic,fkn,Fancy,"Individual package (a fork,a knife,a napkin)",BlackFancy.jpg,fkn.jpg
8,5,1,61,30,50,Wood_color,Bamboo,f,Fancy,Individual package (only a fork inside),Wood_colorFancy.jpg,f.jpg
8,5,2,61,20,350,Black,Biodegradable Plastic,fkn,Fancy,"Individual package (a fork,a knife,a napkin)",BlackFancy.jpg,fkn.jpg
8,5,3,61,25,350,Black,Plastic,f,Simple,Individual package (only a fork inside),BlackSimple.jpg,f.jpg
8,6,1,62,30,350,Wood_color,Bamboo,f,Fancy,Individual package (only a fork inside),Wood_colorFancy.jpg,f.jpg
8,6,2,62,30,50,White,Biodegradable Plastic,fksn,Simple,"Individual package (a fork,a knife, a spoon, a napkin)",WhiteSimple.jpg,fksn.jpg
8,6,3,62,30,150,White,Plastic,f_k_s,Simple,"Bundle package (all forks, knives, spoons)",WhiteSimple.jpg,f_k_s.jpg
8,7,1,63,20,50,Wood_color,Bamboo,fksn,Simple,"Individual package (a fork,a knife, a spoon, a napkin)",Wood_colorSimple.jpg,fksn.jpg
8,7,2,63,25,150,White,Biodegradable Plastic,f_k_s,Simple,"Bundle package (all forks, knives, spoons)",WhiteSimple.jpg,f_k_s.jpg
8,7,3,63,20,50,White,Plastic,f_k_s,Simple,"Bundle package (all forks, knives, spoons)",WhiteSimple.jpg,f_k_s.jpg
8,8,1,64,25,150,Wood_color,Bamboo,fk,Simple,"Individual package (a fork,a knife)",Wood_colorSimple.jpg,fk.jpg
8,8,2,64,25,350,Black,Biodegradable Plastic,fk,Simple,"Individual package (a fork,a knife)",BlackSimple.jpg,fk.jpg
8,8,3,64,25,50,White,Plastic,fkn,Simple,"Individual package (a fork,a knife,a napkin)",WhiteSimple.jpg,fkn.jpg
9,1,1,65,30,150,Wood_color,Bamboo,fkn,Fancy,"Individual package (a fork,a knife,a napkin)",Wood_colorFancy.jpg,fkn.jpg
9,1,2,65,20,350,Black,Biodegradable Plastic,fkn,Fancy,"Individual package (a fork,a knife,a napkin)",BlackFancy.jpg,fkn.jpg
9,1,3,65,30,50,White,Plastic,fks,Simple,"Individual package (a fork,a knife,a spoon)",WhiteSimple.jpg,fks.jpg
9,2,1,66,30,50,Wood_color,Bamboo,f_k_s,Simple,"Bundle package (all forks, knives, spoons)",Wood_colorSimple.jpg,f_k_s.jpg
9,2,2,66,25,150,Black,Biodegradable Plastic,fk,Fancy,"Individual package (a fork,a knife)",BlackFancy.jpg,fk.jpg
9,2,3,66,30,150,Black,Plastic,fn,Fancy,"Individual package (a fork,a napkin)",BlackFancy.jpg,fn.jpg
9,3,1,67,30,50,Wood_color,Bamboo,fn,Simple,"Individual package (a fork,a napkin)",Wood_colorSimple.jpg,fn.jpg
9,3,2,67,20,350,Black,Biodegradable Plastic,fn,Simple,"Individual package (a fork,a napkin)",BlackSimple.jpg,fn.jpg
